"UWV beroep code";"Omschrijving";"Code Bovenliggend Referentie Beroep";"Omschrijving Bovenliggend Referentie Beroep"
"721";"bankwerker elektrotechnische instrumenten";"9990";"Monteur elektrotechnische panelen"
"4448";"elektromonteur-bankwerker (excl motoren, generatoren)";"9990";"Monteur elektrotechnische panelen"
"4449";"elektromonteur-bankwerker trafo-schakelinstallaties";"9990";"Monteur elektrotechnische panelen"
"9934";"elektronisch bankwerker zwakstroom";"9990";"Monteur elektrotechnische panelen"
"9991";"elektromonteur schakelborden";"9990";"Monteur elektrotechnische panelen"
"9992";"elektromonteur schakelinstallaties";"9990";"Monteur elektrotechnische panelen"
"9994";"elektromonteur transformatoren";"9990";"Monteur elektrotechnische panelen"
"9997";"monteur schakelinstallaties, schakelapparatuur";"9990";"Monteur elektrotechnische panelen"
"10000";"paneelkastenmonteur automatische regeling ketels en turbines";"9990";"Monteur elektrotechnische panelen"
"1000403587";"schakelbordmonteur";"9990";"Monteur elektrotechnische panelen"
"1000403588";"elektromonteur (elektrotechnische panelen)";"9990";"Monteur elektrotechnische panelen"
"1000403589";"bedradingsmonteur motoren en generatoren";"9990";"Monteur elektrotechnische panelen"
"1000403590";"bedradingsmonteur schakelkasten en panelen";"9990";"Monteur elektrotechnische panelen"
"1000403591";"elektrotechnisch bankwerker";"9990";"Monteur elektrotechnische panelen"
"1000403592";"monteur computerbekabeling";"9990";"Monteur elektrotechnische panelen"
"1000426027";"bedradingsmonteur";"9990";"Monteur elektrotechnische panelen"
"1000426028";"bedradingsmonteur paneelbouwer";"9990";"Monteur elektrotechnische panelen"
"1000426029";"eerste monteur elektrische panelen";"9990";"Monteur elektrotechnische panelen"
"1000426030";"monteur elektrische panelen";"9990";"Monteur elektrotechnische panelen"
"1000426031";"monteur panelenbouw";"9990";"Monteur elektrotechnische panelen"
"1000426032";"paneelbouwer bedradingsmonteur";"9990";"Monteur elektrotechnische panelen"
"1000426033";"panelenmonteur";"9990";"Monteur elektrotechnische panelen"
"1000427419";"paneelbouwer";"9990";"Monteur elektrotechnische panelen"
"9972";"ankerinsluiter";"9971";"Monteur elektromotoren"
"9973";"ankerwikkelaar";"9971";"Monteur elektromotoren"
"9974";"bankwerker-technicus (elektromotoren, generatoren, dynamo's)";"9971";"Monteur elektromotoren"
"9977";"elektromotortechnicus";"9971";"Monteur elektromotoren"
"9978";"elektrotechnisch wikkelaar";"9971";"Monteur elektromotoren"
"9979";"handwikkelaar";"9971";"Monteur elektromotoren"
"9980";"machinebankwerker-motortechnicus elektromotoren";"9971";"Monteur elektromotoren"
"9982";"rotorwikkelaar";"9971";"Monteur elektromotoren"
"9987";"technicus elektrische machines (motoren, generatoren, dynamo's)";"9971";"Monteur elektromotoren"
"9989";"transformatorwikkelaar";"9971";"Monteur elektromotoren"
"1000403578";"monteur elektrotechnisch wikkelen";"9971";"Monteur elektromotoren"
"1000403579";"proefstandmonteur (wikkelen)";"9971";"Monteur elektromotoren"
"742";"assistent-monteur lichtreclame";"9953";"Monteur elektrische installaties"
"9935";"elektrotechnicus bouwnijverheid";"9953";"Monteur elektrische installaties"
"9936";"elektrotechnicus huisaansluitingen";"9953";"Monteur elektrische installaties"
"9938";"elektrotechnicus installaties";"9953";"Monteur elektrische installaties"
"9941";"elektrotechnicus openbare verlichting";"9953";"Monteur elektrische installaties"
"9943";"elektrotechnisch installateur";"9953";"Monteur elektrische installaties"
"9950";"leidinglegger elektrische installaties (gebouwen)";"9953";"Monteur elektrische installaties"
"9960";"lampenist";"9953";"Monteur elektrische installaties"
"9964";"onderhoudsmonteur elektrische installaties";"9953";"Monteur elektrische installaties"
"10106";"elektrotechnicus sterkstroom";"9953";"Monteur elektrische installaties"
"10109";"sterkstroomtechnicus bouwnijverheid";"9953";"Monteur elektrische installaties"
"30356";"monteur sterkstroominstallaties";"9953";"Monteur elektrische installaties"
"300024";"elektromonteur (elektrische installaties)";"9953";"Monteur elektrische installaties"
"353514";"elektricien";"9953";"Monteur elektrische installaties"
"1000403573";"eerste monteur elektrische installaties";"9953";"Monteur elektrische installaties"
"1000417298";"monteur laadpalen (elektrotechnische installatie)";"9953";"Monteur elektrische installaties"
"1000417300";"elektromonteur laadpalen";"9953";"Monteur elektrische installaties"
"1000425970";"elektromonteur besturingstechniek";"9953";"Monteur elektrische installaties"
"1000425971";"hulp elektromonteur";"9953";"Monteur elektrische installaties"
"1000425972";"hulpmonteur elektrotechniek";"9953";"Monteur elektrische installaties"
"1000425973";"hulpmonteur elektrotechniek utiliteit";"9953";"Monteur elektrische installaties"
"1000425974";"keukenmonteur elektrotechniek";"9953";"Monteur elektrische installaties"
"1000425975";"leerling-monteur elektrotechniek";"9953";"Monteur elektrische installaties"
"1000425976";"monteur gevelonderhoudsinstallaties";"9953";"Monteur elektrische installaties"
"1000425977";"servicetechnicus e-installaties";"9953";"Monteur elektrische installaties"
"1000425978";"servicetechnicus e-installatietechniek";"9953";"Monteur elektrische installaties"
"1000425979";"monteur elektrotechniek";"9953";"Monteur elektrische installaties"
"1000425980";"monteur slimme meters";"9953";"Monteur elektrische installaties"
"1000425981";"monteur warmtemeters";"9953";"Monteur elektrische installaties"
"1000425982";"servicemonteur bedrijfsdeuren";"9953";"Monteur elektrische installaties"
"1000425983";"servicemonteur grootkeukentechniek";"9953";"Monteur elektrische installaties"
"1000425984";"servicemonteur grootkeukens";"9953";"Monteur elektrische installaties"
"1000426916";"elektricien woningbouw";"9953";"Monteur elektrische installaties"
"1000427075";"technicus gebouwautomatisering (gba)";"9953";"Monteur elektrische installaties"
"1000427254";"e-monteur woningbouw";"9953";"Monteur elektrische installaties"
"1000427496";"e-monteur";"9953";"Monteur elektrische installaties"
"7389";"bediener longfunctie-apparaat";"992";"Beademingstechnicus"
"705";"assistent-monteur audio- en video";"9892";"Monteur consumentenelektronica"
"706";"assistent-monteur elektronica tv- en radioapparatuur";"9892";"Monteur consumentenelektronica"
"6550";"camerareparateur";"9892";"Monteur consumentenelektronica"
"6551";"filmcamerareparateur";"9892";"Monteur consumentenelektronica"
"6552";"fotocamerareparateur";"9892";"Monteur consumentenelektronica"
"6557";"instrumentmaker camera's, foto- en optische apparatuur";"9892";"Monteur consumentenelektronica"
"9889";"zendapparatuurbouwer";"9892";"Monteur consumentenelektronica"
"9890";"zendapparatuurreparateur";"9892";"Monteur consumentenelektronica"
"9895";"elektronicus reparatie audio, video";"9892";"Monteur consumentenelektronica"
"9897";"monteur beveiligingsapparatuur (fabricage)";"9892";"Monteur consumentenelektronica"
"9898";"monteur geluidsapparatuur";"9892";"Monteur consumentenelektronica"
"9899";"monteur televisie- en radioapparatuur";"9892";"Monteur consumentenelektronica"
"9900";"onderhoudsmonteur mobilofoons, radio's";"9892";"Monteur consumentenelektronica"
"9901";"onderhoudstechnicus audio-, en videoapparatuur";"9892";"Monteur consumentenelektronica"
"9903";"radiomonteur";"9892";"Monteur consumentenelektronica"
"9909";"videotechnicus";"9892";"Monteur consumentenelektronica"
"1000403566";"assistent-monteur consumentenelektronica";"9892";"Monteur consumentenelektronica"
"1000403567";"audiomonteur";"9892";"Monteur consumentenelektronica"
"1000403568";"eerste monteur consumentenelektronica";"9892";"Monteur consumentenelektronica"
"1000403569";"monteur audio- en video apparatuur";"9892";"Monteur consumentenelektronica"
"1000403570";"servicemonteur radio, televisie, video";"9892";"Monteur consumentenelektronica"
"1000403571";"technicus consumentenelektronica";"9892";"Monteur consumentenelektronica"
"1000424738";"audio&video installatietechnicus";"9892";"Monteur consumentenelektronica"
"1000424739";"audiovisueel installatie monteur";"9892";"Monteur consumentenelektronica"
"1000424740";"audiovisueel installatietechnicus";"9892";"Monteur consumentenelektronica"
"988";"barkelner";"986";"Barkeeper"
"989";"barserveerster";"986";"Barkeeper"
"990";"barsteward";"986";"Barkeeper"
"991";"bartender";"986";"Barkeeper"
"350983";"barman";"986";"Barkeeper"
"1000400587";"barassistent";"986";"Barkeeper"
"1000400588";"barhostess";"986";"Barkeeper"
"1000418064";"barvrouw";"986";"Barkeeper"
"1000418065";"barkeepster";"986";"Barkeeper"
"1000418418";"barhost";"986";"Barkeeper"
"1000418713";"barmedewerker";"986";"Barkeeper"
"6056";"draineerbuizenlegger";"9856";"Monteur bronbemalingsinstallaties"
"6057";"draineerder";"9856";"Monteur bronbemalingsinstallaties"
"6069";"hulpdrainagewerker";"9856";"Monteur bronbemalingsinstallaties"
"9858";"monteur bronbemaling";"9856";"Monteur bronbemalingsinstallaties"
"9859";"pompenmonteur (fabricage)";"9856";"Monteur bronbemalingsinstallaties"
"9860";"spinpompencontroleur";"9856";"Monteur bronbemalingsinstallaties"
"9861";"spinpompenmeter";"9856";"Monteur bronbemalingsinstallaties"
"9862";"spinpompenmonteur";"9856";"Monteur bronbemalingsinstallaties"
"9863";"welputmaker bouwnijverheid";"9856";"Monteur bronbemalingsinstallaties"
"1000404780";"bronneringsmedewerker";"9856";"Monteur bronbemalingsinstallaties"
"1000404781";"medewerker bronbemaling";"9856";"Monteur bronbemalingsinstallaties"
"1000404783";"medewerker bronbemalingsinstallaties";"9856";"Monteur bronbemalingsinstallaties"
"1000411068";"bronbemaler";"9856";"Monteur bronbemalingsinstallaties"
"1000426023";"assistent monteur bronbemaling";"9856";"Monteur bronbemalingsinstallaties"
"1000426024";"hulpmonteur pompen";"9856";"Monteur bronbemalingsinstallaties"
"1000426025";"monteur elektrische pompen";"9856";"Monteur bronbemalingsinstallaties"
"1000426026";"monteur pompen";"9856";"Monteur bronbemalingsinstallaties"
"1000427298";"bouwmedewerker bronbemaling";"9856";"Monteur bronbemalingsinstallaties"
"6407";"assistent-monteur beveiligingsapparatuur";"9853";"Monteur beveiligingsinstallaties"
"9854";"elektricien opbouw beveiligingsinstallaties";"9853";"Monteur beveiligingsinstallaties"
"1000400084";"installateur beveiligingsinstallaties";"9853";"Monteur beveiligingsinstallaties"
"1000403552";"alarminstallateur";"9853";"Monteur beveiligingsinstallaties"
"1000403554";"beveiligingsmonteur";"9853";"Monteur beveiligingsinstallaties"
"1000403555";"montagetechnicus beveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000403556";"monteur beveiligings- en communicatiesystemen";"9853";"Monteur beveiligingsinstallaties"
"1000403557";"service technicus beveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000403559";"servicemonteur beveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000403560";"servicemonteur beveiligings- en communicatiesystemen";"9853";"Monteur beveiligingsinstallaties"
"1000403561";"servicemonteur brandbeveiligingsinstallaties";"9853";"Monteur beveiligingsinstallaties"
"1000403562";"servicemonteur meldsystemen";"9853";"Monteur beveiligingsinstallaties"
"1000418964";"beveiligingstechnicus";"9853";"Monteur beveiligingsinstallaties"
"1000419306";"monteur domotica";"9853";"Monteur beveiligingsinstallaties"
"1000426110";"monteur cctv installaties";"9853";"Monteur beveiligingsinstallaties"
"1000426111";"monteur safety security";"9853";"Monteur beveiligingsinstallaties"
"1000426112";"servicemonteur brandmeldinstallaties";"9853";"Monteur beveiligingsinstallaties"
"1000426113";"storingsmonteur brandmeldinstallaties";"9853";"Monteur beveiligingsinstallaties"
"1000426114";"alarmsystemen monteur";"9853";"Monteur beveiligingsinstallaties"
"1000426115";"assistent beveiligingsmonteur";"9853";"Monteur beveiligingsinstallaties"
"1000426116";"assistent monteur beveiligingstechniek";"9853";"Monteur beveiligingsinstallaties"
"1000426117";"bekabelingsmonteur beveiligingstechniek";"9853";"Monteur beveiligingsinstallaties"
"1000426118";"beveiligings monteur";"9853";"Monteur beveiligingsinstallaties"
"1000426119";"beveiligingsmonteur brandveiligheid";"9853";"Monteur beveiligingsinstallaties"
"1000426120";"eerste beveiligingsmonteur";"9853";"Monteur beveiligingsinstallaties"
"1000426121";"hoofd monteur beveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426122";"hulpmonteur beveiligingstechniek";"9853";"Monteur beveiligingsinstallaties"
"1000426123";"hulpmonteur brandbeveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426124";"inbraak beveiligingsmonteur";"9853";"Monteur beveiligingsinstallaties"
"1000426125";"leidinggevend eerste monteur beveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426126";"leidinggevend eerste monteur brandbeveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426127";"leidinggevend monteur beveiligingstechniek";"9853";"Monteur beveiligingsinstallaties"
"1000426128";"monteur beveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426129";"monteur beveiligingssystemen";"9853";"Monteur beveiligingsinstallaties"
"1000426130";"monteur beveiligingstechniek";"9853";"Monteur beveiligingsinstallaties"
"1000426131";"monteur blusmiddelen";"9853";"Monteur beveiligingsinstallaties"
"1000426132";"monteur brandbeveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426133";"monteur cctv en communicatie";"9853";"Monteur beveiligingsinstallaties"
"1000426134";"monteur inbraakbeveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426135";"monteur kleine blusmiddelen";"9853";"Monteur beveiligingsinstallaties"
"1000426136";"reob monteur";"9853";"Monteur beveiligingsinstallaties"
"1000426137";"sprinklermonteur";"9853";"Monteur beveiligingsinstallaties"
"1000426138";"servicemonteur beveiligingstechniek";"9853";"Monteur beveiligingsinstallaties"
"1000426140";"servicemonteur beveiligingssystemen";"9853";"Monteur beveiligingsinstallaties"
"1000426141";"servicemonteur brandbeveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426142";"servicemonteur kleine blusmiddelen";"9853";"Monteur beveiligingsinstallaties"
"1000426143";"onderhoudsmonteur brandbeveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426144";"servicemonteur sprinkler";"9853";"Monteur beveiligingsinstallaties"
"1000426145";"servicemonteur communicatiesystemen";"9853";"Monteur beveiligingsinstallaties"
"1000426146";"onderhoudsmonteur beveiligingstechniek";"9853";"Monteur beveiligingsinstallaties"
"1000426147";"onderhoudsmonteur beveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426148";"servicemonteur liftbeveiliging";"9853";"Monteur beveiligingsinstallaties"
"1000426150";"onderhoudsmonteur communicatiesystemen";"9853";"Monteur beveiligingsinstallaties"
"1000426151";"onderhoudsmonteur beveiligingssystemen";"9853";"Monteur beveiligingsinstallaties"
"1000426628";"bouwkundig brandpreventiemonteur";"9853";"Monteur beveiligingsinstallaties"
"1000427100";"installateur alarmapparatuur";"9853";"Monteur beveiligingsinstallaties"
"1000427132";"monteur bouwkundige brandpreventie";"9853";"Monteur beveiligingsinstallaties"
"1000427334";"monteur bouwkundige brandbeveiliging";"9853";"Monteur beveiligingsinstallaties"
"9848";"monteur bedrijfswagens";"9847";"Bedrijfsautotechnicus"
"9849";"monteur wagenpark";"9847";"Bedrijfsautotechnicus"
"9850";"onderhoudsmonteur rupsvoertuigen";"9847";"Bedrijfsautotechnicus"
"9851";"technisch medewerker wagenpark";"9847";"Bedrijfsautotechnicus"
"10074";"autobusmonteur";"9847";"Bedrijfsautotechnicus"
"358097";"monteur bestelwagens";"9847";"Bedrijfsautotechnicus"
"362314";"vrachtwagenmonteur";"9847";"Bedrijfsautotechnicus"
